Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-12.3 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-19.1 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-25.2 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-29.0 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-6.3 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -2,       7.88202, ,            -2,      7.833969, ,            -2,      7.752169, ,            -2,      7.693583, ,            -2,      7.647155, ,            -2,      7.487201, ,            -2,      7.458762, ,            -2,      7.395214, ,            -2,      7.275178, ,            -2,       7.15308, ,            -2,      7.119071, ,            -2,      7.098942, ,            -2,      8.342849, ,            -2,      8.141877, ,            -2,      8.050345, ,            -2,      8.015879, , 
         -1.8,      7.740838, ,          -1.8,      7.691642, ,          -1.8,       7.60729, ,          -1.8,        7.5381, ,          -1.8,      7.472553, ,          -1.8,      7.293168, ,          -1.8,       7.26503, ,          -1.8,      7.200621, ,          -1.8,      7.078432, ,          -1.8,      6.957249, ,          -1.8,      6.923607, ,          -1.8,      6.903636, ,          -1.8,      8.207687, ,          -1.8,      8.004494, ,          -1.8,       7.91158, ,          -1.8,      7.876642, , 
         -1.6,      7.609347, ,          -1.6,      7.558812, ,          -1.6,      7.466138, ,          -1.6,      7.379302, ,          -1.6,      7.298737, ,          -1.6,      7.108934, ,          -1.6,       7.07974, ,          -1.6,      7.015175, ,          -1.6,      6.893338, ,          -1.6,      6.773423, ,          -1.6,      6.740145, ,          -1.6,      6.720298, ,          -1.6,      8.082676, ,          -1.6,      7.876938, ,          -1.6,      7.782714, ,          -1.6,      7.747179, , 
         -1.4,      7.486944, ,          -1.4,      7.435289, ,          -1.4,      7.324203, ,          -1.4,      7.213842, ,          -1.4,      7.126372, ,          -1.4,      6.933091, ,          -1.4,      6.903704, ,          -1.4,      6.840184, ,          -1.4,      6.719309, ,          -1.4,      6.600393, ,          -1.4,      6.567648, ,          -1.4,      6.548062, ,          -1.4,      7.968106, ,          -1.4,      7.758459, ,          -1.4,      7.662843, ,          -1.4,      7.626821, , 
         -1.2,      7.372774, ,          -1.2,      7.320518, ,          -1.2,      7.184898, ,          -1.2,      7.059452, ,          -1.2,      6.966865, ,          -1.2,      6.770133, ,          -1.2,       6.74096, ,          -1.2,       6.67892, ,          -1.2,      6.558679, ,          -1.2,      6.440751, ,          -1.2,      6.408252, ,          -1.2,      6.388827, ,          -1.2,      7.862281, ,          -1.2,      7.648745, ,          -1.2,      7.550988, ,          -1.2,      7.514468, , 
           -1,      7.265706, ,            -1,      7.204442, ,            -1,      7.054679, ,            -1,      6.920032, ,            -1,       6.82131, ,            -1,      6.620787, ,            -1,      6.592109, ,            -1,      6.530589, ,            -1,      6.411341, ,            -1,      6.294759, ,            -1,      6.262853, ,            -1,      6.243707, ,            -1,      7.765593, ,            -1,      7.547311, ,            -1,       7.44643, ,            -1,      7.408915, , 
         -0.8,      7.162386, ,          -0.8,      7.083264, ,          -0.8,      6.934077, ,          -0.8,      6.794457, ,          -0.8,      6.692322, ,          -0.8,      6.487923, ,          -0.8,      6.459356, ,          -0.8,      6.398266, ,          -0.8,      6.279911, ,          -0.8,      6.164307, ,          -0.8,      6.132777, ,          -0.8,      6.113888, ,          -0.8,      7.677883, ,          -0.8,      7.453534, ,          -0.8,      7.349092, ,          -0.8,       7.30999, , 
         -0.6,      7.054622, ,          -0.6,      6.969633, ,          -0.6,      6.819729, ,          -0.6,      6.675486, ,          -0.6,      6.571644, ,          -0.6,      6.367754, ,          -0.6,      6.339242, ,          -0.6,      6.278602, ,          -0.6,      6.163573, ,          -0.6,      6.052601, ,          -0.6,      6.052774, ,          -0.6,      6.052696, ,          -0.6,      7.598539, ,          -0.6,      7.367249, ,          -0.6,      7.258333, ,          -0.6,      7.217332, , 
         -0.4,      6.948966, ,          -0.4,      6.861139, ,          -0.4,       6.71029, ,          -0.4,      6.563394, ,          -0.4,      6.458715, ,          -0.4,      6.256516, ,          -0.4,      6.228264, ,          -0.4,      6.169161, ,          -0.4,      6.065805, ,          -0.4,      5.961187, ,          -0.4,      5.960455, ,          -0.4,      5.959824, ,          -0.4,      7.527117, ,          -0.4,      7.288453, ,          -0.4,      7.173775, ,          -0.4,      7.130228, , 
         -0.2,       6.84819, ,          -0.2,      6.757575, ,          -0.2,      6.606324, ,          -0.2,       6.45851, ,          -0.2,      6.352842, ,          -0.2,      6.156551, ,          -0.2,      6.130857, ,          -0.2,      6.076703, ,          -0.2,      5.979985, ,          -0.2,      5.894317, ,          -0.2,      5.883631, ,          -0.2,      5.877079, ,          -0.2,      7.463551, ,          -0.2,      7.217325, ,          -0.2,      7.095908, ,          -0.2,      7.048949, , 
